Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Gary Harris,LAC,27,43.0,40.3,-2.695,2.220,37.0,58.0,39.0,39.0,41.0,42.0,0.015
Joe Harris,FA,30,41.0,39.0,-1.952,1.082,36.0,42.0,38.0,38.0,40.0,40.0,0.003
John Henson,IND,31,59.0,58.0,-1.028,0.589,56.0,59.0,57.0,58.0,58.0,59.0,0.000
Juancho Hernangómez,CLE,26,51.0,48.6,-2.446,1.812,45.0,63.0,47.0,48.0,49.0,50.0,0.015
Willy Hernangómez,OKC,27,51.0,50.1,-0.923,1.870,47.0,63.0,49.0,49.0,51.0,51.0,0.074
Mario Hezonja,ORL,26,53.0,50.9,-2.073,1.821,48.0,64.0,49.0,50.0,52.0,52.0,0.029
Buddy Hield,SAC,29,48.0,45.8,-2.162,1.875,43.0,61.0,44.0,45.0,46.0,47.0,0.020
Darrun Hilliard,ORL,28,54.0,52.0,-1.974,1.932,48.0,65.0,50.0,51.0,53.0,54.0,0.023
Justin Holiday,FA,32,50.0,40.5,-9.549,0.944,38.0,43.0,39.0,40.0,41.0,42.0,0.000
Rondae Hollis-Jefferson,TOR,26,44.0,39.3,-4.706,2.805,36.0,58.0,38.0,38.0,40.0,40.0,0.023
Richaun Holmes,LAC,28,38.0,36.0,-1.970,2.269,33.0,56.0,35.0,35.0,36.0,37.0,0.018
Rodney Hood,ORL,29,58.0,57.1,-0.881,1.245,55.0,67.0,56.0,57.0,57.0,58.0,0.025
Robbie Hummel,FA,32,44.0,39.2,-4.822,1.081,36.0,42.0,38.0,38.0,40.0,41.0,0.000
R.J. Hunter,BOS,28,43.0,40.0,-2.973,2.668,36.0,58.0,38.0,39.0,40.0,41.0,0.025
Joe Ingles,ORL,34,52.0,45.8,-6.183,1.087,42.0,49.0,44.0,45.0,46.0,47.0,0.000
Damien Inglis,GSW,26,44.0,41.0,-3.047,2.288,37.0,59.0,39.0,40.0,41.0,42.0,0.017
Demetrius Jackson,LAC,27,42.0,39.5,-2.495,2.490,36.0,58.0,38.0,38.0,40.0,41.0,0.021
John Jenkins,MIA,30,55.0,54.5,-0.482,0.705,52.0,56.0,54.0,54.0,55.0,55.0,0.051
Grant Jerrett (PO),ATL,28,57.0,55.5,-1.489,1.656,53.0,68.0,55.0,55.0,56.0,56.0,0.024
Brice Johnson,DEN,27,35.0,32.3,-2.725,2.454,30.0,52.0,31.0,31.0,33.0,33.0,0.021
Chris Johnson,FA,31,47.0,41.7,-5.328,0.902,39.0,44.0,41.0,41.0,42.0,43.0,0.000
Stanley Johnson,GSW,25,62.0,62.0,0.000,0.000,62.0,62.0,62.0,62.0,62.0,62.0,0.000
Tyler Johnson,ATL,29,57.0,55.8,-1.243,1.308,54.0,66.0,55.0,55.0,56.0,56.0,0.016
Nikola Jokić,PHI,26,65.0,66.1,1.146,0.774,64.0,68.0,65.0,66.0,67.0,67.0,0.809
Kevin Jones,WAS,32,62.0,61.0,-0.990,0.567,59.0,62.0,60.0,61.0,61.0,62.0,0.000
Perry Jones,FA,30,47.0,45.9,-1.112,0.927,44.0,48.0,45.0,45.0,46.0,47.0,0.037
Terrence Jones (PO),DAL,29,63.0,63.0,-0.017,0.728,61.0,65.0,62.0,63.0,63.0,64.0,0.225
Tyus Jones,POR,25,49.0,49.0,0.000,0.000,49.0,49.0,49.0,49.0,49.0,49.0,0.000
Frank Kaminsky,LAL,28,57.0,56.6,-0.438,1.407,54.0,68.0,56.0,56.0,57.0,57.0,0.051
Sergey Karasev,FA,28,38.0,35.1,-2.855,2.762,32.0,55.0,34.0,34.0,35.0,36.0,0.025
Ryan Kelly,PHI,30,49.0,47.3,-1.693,0.931,45.0,50.0,46.0,47.0,48.0,48.0,0.001
Michael Kidd-Gilchrist,SA,28,62.0,61.3,-0.728,0.657,60.0,63.0,60.0,61.0,62.0,62.0,0.010
Skal Labissière,POR,25,39.0,39.0,0.000,0.000,39.0,39.0,39.0,39.0,39.0,39.0,0.000
Doron Lamb (PO),PHI,30,60.0,59.2,-0.756,0.642,57.0,61.0,58.0,59.0,60.0,60.0,0.009
Jeremy Lamb,FA,29,35.0,33.7,-1.307,1.993,31.0,51.0,33.0,33.0,34.0,34.0,0.015
Joffrey Lauvergne,FA,30,50.0,49.0,-0.965,1.072,46.0,52.0,48.0,48.0,50.0,50.0,0.085
Zach LaVine,BOS,26,55.0,53.7,-1.258,1.647,50.0,66.0,52.0,53.0,54.0,55.0,0.022
Jake Layman,MIL,27,43.0,38.5,-4.460,2.111,36.0,58.0,37.0,38.0,39.0,40.0,0.011
Ricky Ledo,FA,29,42.0,40.0,-1.985,1.938,36.0,57.0,38.0,39.0,41.0,42.0,0.021
Alex Len,LAC,28,49.0,49.2,0.189,1.809,45.0,62.0,48.0,48.0,50.0,51.0,0.376
Meyers Leonard,TOR,29,46.0,47.5,1.485,1.998,44.0,59.0,46.0,46.0,48.0,49.0,0.730
Caris LeVert,NYK,27,52.0,49.6,-2.386,1.861,46.0,63.0,48.0,49.0,50.0,51.0,0.018
Damian Lillard,ATL,31,63.0,60.7,-2.303,0.689,59.0,63.0,60.0,60.0,61.0,62.0,0.000
Kevon Looney,CLE,25,53.0,53.0,0.000,0.000,53.0,53.0,53.0,53.0,53.0,53.0,0.000
Timothé Luwawu-Cabarrot,ATL,26,58.0,57.6,-0.422,1.513,56.0,69.0,57.0,57.0,58.0,58.0,0.046
Trey Lyles,BOS,26,46.0,43.9,-2.054,2.060,40.0,60.0,42.0,43.0,45.0,45.0,0.016
Devyn Marble,FA,29,36.0,34.7,-1.346,1.908,32.0,51.0,33.0,34.0,35.0,35.0,0.016
Boban Marjanović,LAL,33,55.0,51.5,-3.525,1.113,48.0,54.0,50.0,51.0,52.0,53.0,0.000
Jarell Martin,NOL,27,58.0,56.8,-1.243,1.394,55.0,68.0,56.0,56.0,57.0,58.0,0.021
James Michael McAdoo,WAS,28,54.0,52.0,-2.049,1.803,49.0,64.0,50.0,51.0,53.0,53.0,0.020
Ray McCallum,FA,30,51.0,50.0,-0.979,0.898,47.0,53.0,49.0,49.0,51.0,51.0,0.040
Patrick McCaw,MIA,26,55.0,52.9,-2.061,1.778,50.0,65.0,51.0,52.0,53.0,54.0,0.021
CJ McCollum,LAL,30,40.0,35.9,-4.106,0.805,34.0,38.0,35.0,35.0,36.0,37.0,0.000
T.J. McConnell,SAC,29,47.0,44.0,-3.031,2.628,40.0,59.0,42.0,43.0,44.0,45.0,0.029
Chris McCullough,DEN,26,55.0,53.6,-1.376,1.661,50.0,66.0,52.0,53.0,54.0,55.0,0.023
K.J. McDaniels,DEN,28,36.0,31.9,-4.110,2.454,30.0,53.0,31.0,31.0,32.0,33.0,0.018
Doug McDermott,NOL,29,51.0,49.4,-1.633,1.701,46.0,61.0,48.0,48.0,50.0,51.0,0.052
Mitch McGary,FA,29,45.0,43.9,-1.132,2.280,41.0,59.0,42.0,43.0,44.0,45.0,0.053
Ceddanne Rafaela,ORL,28,67.0,67.2,0.177,0.655,65.0,69.0,66.0,67.0,68.0,68.0,0.297
Jordan Mickey,GSW,27,48.0,44.2,-3.773,2.726,40.0,61.0,42.0,43.0,45.0,46.0,0.026
Khris Middleton,FA,30,44.0,42.3,-1.669,0.939,40.0,45.0,41.0,42.0,43.0,44.0,0.004
Quincy Miller,ATL,29,66.0,65.2,-0.815,0.659,63.0,67.0,64.0,65.0,66.0,66.0,0.013
Elijah Millsap,LAL,34,40.0,35.4,-4.588,0.684,34.0,37.0,35.0,35.0,36.0,36.0,0.000
Nikola Mirotić,TOR,30,67.0,67.5,0.549,0.646,66.0,69.0,67.0,67.0,68.0,68.0,0.530
Tony Mitchell,FA,29,33.0,29.1,-3.927,2.441,27.0,49.0,28.0,28.0,29.0,30.0,0.020
Luis Montero,NYK,28,51.0,48.8,-2.229,2.024,46.0,63.0,47.0,48.0,49.0,50.0,0.024
Donatas Motiejūnas,FA,31,53.0,47.9,-5.071,1.097,44.0,51.0,47.0,47.0,49.0,49.0,0.000
Arnett Moultrie (PO),NYK,31,55.0,51.4,-3.642,1.068,48.0,54.0,50.0,51.0,52.0,53.0,0.000
Emmanuel Mudiay,LAL,25,59.0,59.0,0.000,0.000,59.0,59.0,59.0,59.0,59.0,59.0,0.000
Shabazz Muhammad,CHA,29,50.0,48.3,-1.748,2.214,44.0,61.0,46.0,47.0,49.0,50.0,0.035
Xavier Munford,PHI,29,61.0,59.9,-1.072,0.643,58.0,62.0,59.0,60.0,60.0,61.0,0.005
Dejounte Murray,PHI,25,47.0,47.0,0.000,0.000,47.0,47.0,47.0,47.0,47.0,47.0,0.000
Larry Nance Jr.,BOS,28,54.0,53.3,-0.736,1.603,50.0,64.0,52.0,52.0,54.0,54.0,0.063
Shabazz Napier,CHA,30,43.0,42.1,-0.924,0.888,40.0,45.0,41.0,42.0,43.0,43.0,0.044
Raul Neto,GSW,29,58.0,57.4,-0.644,1.314,55.0,68.0,56.0,57.0,58.0,58.0,0.053
Nerlens Noel,CHA,27,54.0,52.7,-1.281,1.554,49.0,64.0,51.0,52.0,54.0,54.0,0.043
Lucas Nogueira,FA,29,48.0,45.5,-2.546,2.333,42.0,61.0,44.0,44.0,46.0,47.0,0.026
Jusuf Nurkić,POR,27,36.0,34.4,-1.560,2.196,32.0,53.0,33.0,34.0,35.0,35.0,0.018
Johnny O'Bryant,ATL,28,36.0,35.0,-0.979,1.928,33.0,54.0,34.0,34.0,35.0,36.0,0.030
Jahlil Okafor,MIL,26,59.0,58.2,-0.845,1.684,56.0,70.0,57.0,57.0,58.0,59.0,0.038
Victor Oladipo,NOL,29,56.0,54.0,-2.015,1.472,51.0,65.0,53.0,53.0,54.0,55.0,0.017
Kelly Olynyk,LAL,30,60.0,60.1,0.119,0.586,59.0,62.0,59.0,60.0,60.0,61.0,0.236
Chinanu Onuaku,MIL,25,49.0,49.0,0.000,0.000,49.0,49.0,49.0,49.0,49.0,49.0,0.000
Kelly Oubre Jr.,PHI,26,41.0,35.7,-5.290,2.552,33.0,57.0,34.0,35.0,36.0,36.0,0.015
Jabari Parker,PHI,26,53.0,50.4,-2.603,1.977,47.0,64.0,49.0,49.0,51.0,52.0,0.020
Adreian Payne,ATL,30,47.0,45.9,-1.121,1.070,43.0,48.0,45.0,45.0,47.0,47.0,0.063
Cameron Payne,GSW,27,66.0,67.0,1.031,0.746,65.0,69.0,66.0,67.0,68.0,68.0,0.761
Elfrid Payton,SA,27,70.0,70.0,0.025,0.664,68.0,72.0,69.0,70.0,70.0,71.0,0.220
Mason Plumlee,FA,31,53.0,48.5,-4.522,1.120,46.0,51.0,47.0,48.0,49.0,50.0,0.000
Jakob Poeltl,CLE,26,43.0,43.0,-0.033,2.069,39.0,57.0,41.0,42.0,44.0,44.0,0.289
Bobby Portis,IND,26,49.0,47.5,-1.479,2.438,44.0,62.0,46.0,46.0,48.0,49.0,0.058
Kristaps Porziņģis,MIN,26,67.0,68.0,0.986,0.728,66.0,70.0,67.0,68.0,68.0,69.0,0.762
Norman Powell,ORL,28,54.0,50.9,-3.088,1.831,47.0,65.0,49.0,50.0,51.0,52.0,0.019
Phil Pressey,FA,30,50.0,45.2,-4.822,1.117,42.0,48.0,44.0,44.0,46.0,47.0,0.000
Taurean Prince,PHI,27,57.0,55.2,-1.837,1.532,52.0,67.0,54.0,55.0,55.0,56.0,0.019
Chasson Randle,NYK,28,37.0,35.6,-1.417,2.353,33.0,55.0,34.0,35.0,36.0,36.0,0.029
Julius Randle,NYK,27,35.0,32.5,-2.462,2.350,30.0,53.0,31.0,32.0,33.0,33.0,0.020
Josh Richardson,FA,28,37.0,35.6,-1.386,2.292,33.0,55.0,34.0,35.0,36.0,36.0,0.019
Malachi Richardson,CLE,25,37.0,37.0,0.000,0.000,37.0,37.0,37.0,37.0,37.0,37.0,0.000
Austin Rivers,POR,29,49.0,46.8,-2.180,2.228,43.0,61.0,45.0,46.0,47.0,48.0,0.028
Brian Roberts,FA,36,37.0,32.7,-4.302,0.979,30.0,36.0,32.0,32.0,33.0,34.0,0.000
Glenn Robinson III,PHI,27,35.0,32.6,-2.374,2.407,30.0,52.0,31.0,32.0,33.0,33.0,0.021
Thomas Robinson (TO),TOR,30,56.0,55.5,-0.506,0.660,54.0,57.0,55.0,55.0,56.0,56.0,0.046
Terrence Ross,MIL,30,59.0,58.1,-0.944,0.639,56.0,60.0,57.0,58.0,58.0,59.0,0.003
D'Angelo Russell,NYK,25,69.0,69.0,0.000,0.000,69.0,69.0,69.0,69.0,69.0,69.0,0.000
Domantas Sabonis,NOL,25,51.0,51.0,0.000,0.000,51.0,51.0,51.0,51.0,51.0,51.0,0.000
JaKarr Sampson,WAS,28,54.0,51.6,-2.357,1.940,48.0,65.0,50.0,51.0,52.0,53.0,0.024
Dario Šarić,NOL,27,60.0,59.5,-0.467,0.740,57.0,61.0,59.0,59.0,60.0,60.0,0.083
Dennis Schröder,POR,28,50.0,47.4,-2.568,1.925,44.0,61.0,46.0,47.0,48.0,49.0,0.018
Wayne Selden,MIL,27,36.0,33.2,-2.847,2.202,31.0,54.0,32.0,32.0,33.0,34.0,0.014
Tornike Shengelia,IND,30,57.0,56.3,-0.745,0.660,55.0,58.0,55.0,56.0,57.0,57.0,0.016
Pascal Siakam,CHA,27,55.0,55.5,0.526,1.435,53.0,66.0,54.0,55.0,56.0,56.0,0.426
Kyle Singler,FA,33,49.0,43.3,-5.724,0.926,41.0,46.0,42.0,43.0,44.0,44.0,0.000
Marcus Smart,MEM,27,64.0,63.4,-0.589,0.677,62.0,65.0,63.0,63.0,64.0,64.0,0.036
Russ Smith,FA,30,44.0,42.5,-1.547,0.937,40.0,45.0,41.0,42.0,43.0,44.0,0.007
Tony Snell,MEM,30,61.0,61.0,0.029,0.569,60.0,62.0,60.0,61.0,61.0,62.0,0.177
Nik Stauskas,MIL,28,57.0,55.0,-1.956,1.534,53.0,67.0,54.0,54.0,55.0,56.0,0.020
Alex Stepheson,LAL,34,40.0,33.7,-6.313,0.682,32.0,35.0,33.0,33.0,34.0,35.0,0.000
David Stockton,FA,30,44.0,42.4,-1.630,0.919,40.0,45.0,41.0,42.0,43.0,44.0,0.007
Jarnell Stokes,NOL,27,56.0,54.0,-1.995,1.608,51.0,66.0,53.0,53.0,54.0,55.0,0.018
Jared Sullinger,MIL,29,61.0,60.4,-0.590,0.657,58.0,62.0,60.0,60.0,61.0,61.0,0.032
Edy Tavares,ATL,29,40.0,36.9,-3.065,2.447,34.0,56.0,35.0,36.0,37.0,38.0,0.018
Jeff Taylor,FA,32,48.0,46.0,-2.012,0.920,43.0,49.0,45.0,45.0,47.0,47.0,0.001
Tyshawn Taylor,MIA,31,56.0,52.4,-3.573,1.068,49.0,55.0,51.0,52.0,53.0,54.0,0.000
Marquis Teague (PO),ATL,28,44.0,42.2,-1.772,2.391,38.0,58.0,40.0,41.0,43.0,44.0,0.032
Adonis Thomas,GSW,28,46.0,41.1,-4.889,2.339,38.0,59.0,39.0,40.0,42.0,42.0,0.017
Mike Tobey,ATL,27,45.0,42.4,-2.553,2.025,39.0,59.0,41.0,42.0,43.0,44.0,0.015
Axel Toupane,NOL,29,32.0,31.0,-1.029,1.442,29.0,46.0,30.0,30.0,31.0,32.0,0.027
Karl-Anthony Towns,DAL,26,68.0,68.6,0.596,0.767,66.0,71.0,68.0,68.0,69.0,70.0,0.552
Myles Turner,SAC,25,55.0,55.0,0.000,0.000,55.0,55.0,55.0,55.0,55.0,55.0,0.000
Tyler Ulis,BOS,25,43.0,43.0,0.000,0.000,43.0,43.0,43.0,43.0,43.0,43.0,0.000
Jonas Valančiūnas,SA,29,66.0,66.1,0.149,0.636,65.0,68.0,65.0,66.0,67.0,67.0,0.274
Denzel Valentine,DAL,28,53.0,50.6,-2.449,2.047,47.0,64.0,49.0,50.0,51.0,52.0,0.025
Fred VanVleet,MIL,27,37.0,35.4,-1.552,2.205,33.0,54.0,34.0,35.0,36.0,36.0,0.018
Rashad Vaughn,POR,25,60.0,60.0,0.000,0.000,60.0,60.0,60.0,60.0,60.0,60.0,0.000
Noah Vonleh,MIA,26,38.0,36.8,-1.179,2.192,34.0,56.0,35.0,36.0,37.0,38.0,0.064
Dion Waiters,FA,30,38.0,36.6,-1.358,0.727,35.0,39.0,36.0,36.0,37.0,38.0,0.006
T.J. Warren,PHI,28,41.0,36.5,-4.520,2.264,34.0,57.0,35.0,36.0,37.0,37.0,0.013
Maalik Wayns,FA,30,47.0,45.5,-1.485,0.939,43.0,48.0,44.0,45.0,46.0,47.0,0.007
David Wear,FA,31,33.0,28.3,-4.716,0.657,26.0,30.0,28.0,28.0,29.0,29.0,0.000
Travis Wear,BOS,31,36.0,32.7,-3.261,0.782,31.0,35.0,32.0,32.0,33.0,34.0,0.000
Isaiah Whitehead,BOS,26,38.0,37.9,-0.090,2.289,35.0,55.0,36.0,37.0,38.0,39.0,0.229
Royce White,FA,30,46.0,39.6,-6.387,1.114,37.0,43.0,38.0,39.0,40.0,41.0,0.000
Shayne Whittington,FA,30,50.0,48.9,-1.051,1.062,46.0,52.0,48.0,48.0,50.0,50.0,0.066
Andrew Wiggins,LAL,26,65.0,64.0,-0.977,0.653,62.0,66.0,63.0,64.0,64.0,65.0,0.006
Alan Williams,FA,28,36.0,34.7,-1.334,2.577,32.0,54.0,33.0,34.0,35.0,35.0,0.024
Troy Williams,NOL,27,39.0,36.4,-2.645,2.518,34.0,55.0,35.0,35.0,37.0,37.0,0.019
Justise Winslow,NOL,25,59.0,59.0,0.000,0.000,59.0,59.0,59.0,59.0,59.0,59.0,0.000
Jeff Withey,MEM,31,45.0,38.0,-6.991,1.037,36.0,42.0,37.0,37.0,39.0,39.0,0.000
Nate Wolters,FA,30,42.0,41.0,-1.001,0.928,39.0,43.0,40.0,40.0,42.0,42.0,0.045
Christian Wood,NYK,26,42.0,38.0,-3.989,2.486,35.0,57.0,37.0,37.0,38.0,39.0,0.017
Delon Wright,CHA,29,45.0,42.8,-2.210,2.320,40.0,60.0,41.0,42.0,43.0,44.0,0.021
Tony Wroten,TOR,28,62.0,61.8,-0.200,0.662,60.0,64.0,61.0,61.0,62.0,63.0,0.126
James Young,IND,26,48.0,45.2,-2.804,2.596,42.0,61.0,43.0,44.0,46.0,46.0,0.028
Joe Young,FA,29,42.0,33.0,-8.972,3.093,31.0,57.0,32.0,32.0,33.0,33.0,0.020
Cody Zeller,NYK,29,51.0,49.9,-1.137,1.948,46.0,62.0,48.0,49.0,50.0,51.0,0.053
Tyler Zeller (PO),OKC,31,60.0,59.1,-0.871,0.570,58.0,60.0,58.0,59.0,59.0,60.0,0.000
Stephen Zimmerman (PO),MIN,25,40.0,40.0,0.000,0.000,40.0,40.0,40.0,40.0,40.0,40.0,0.000
Paul Zipser,MIL,27,44.0,39.2,-4.758,2.480,36.0,58.0,38.0,38.0,40.0,40.0,0.017
